,Beta_w,r_b,weight
420,9.676321367,1.371556114,0.001582862
421,8.737742324,1.36491579,0.001440652
422,1.543621356,1.486934667,0.000368739
423,1.417974882,1.625561748,0.000335742
424,7.33949312,1.715086849,0.000849555
425,6.459691729,1.397951564,0.001570168
426,1.443689592,1.554345865,0.00035922
427,1.464792449,1.534115671,0.000309709
428,1.281698707,2.071647891,0.000828826
429,1.279955332,1.943482745,0.001051162
430,1.538286722,1.549020721,0.000425791
431,1.282014918,2.030982737,0.000736996
432,1.410451722,1.478737483,0.000267677
433,1.328037966,1.790345757,0.000391963
434,1.474693116,1.416351183,0.000320172
435,1.393370979,1.414850599,0.000384734
436,1.353466532,1.739431546,0.0003826
437,1.333917002,1.726890872,0.000553948
438,1.376489592,1.79877094,0.000494423
439,1.392417287,1.413771323,0.000477758
440,1.61660993,1.313887594,0.000487839
441,1.353556913,1.675212454,0.000455734
442,5.873897956,1.536641917,0.000747717
443,1.58757354,1.371134112,0.000323821
444,1.425290479,1.532427533,0.000393018
445,1.366281078,1.580462758,0.000332509
446,1.421816687,1.584309314,0.000602465
447,6.101267564,1.386665574,0.003201409
448,2.297953874,1.361774446,0.000660208
449,1.439802923,1.414363115,0.000338762
450,1.384024872,1.585980268,0.000335328
451,1.309668115,1.657397969,0.000388477
452,1.3994714,1.610188161,0.000464353
453,1.277821774,1.725035308,0.001700031
454,1.697557098,1.422827253,0.000412017
455,1.334859857,1.666124262,0.000743827
456,1.379294476,1.485879203,0.000430702
457,1.319831729,1.9640695,0.000567641
458,1.386003495,1.531404469,0.000648514
459,1.386995502,1.686242092,0.000365284
460,7.768534177,1.356894903,0.002016787
461,1.375357336,1.4064847,0.000296353
462,8.615186505,1.49577577,0.001239492
463,1.341473167,1.475681432,0.000431815
464,7.989642473,1.398041634,0.000946771
465,1.3282009,1.656131985,0.000369417
466,5.964332169,1.384993011,0.001797809
467,5.935234202,1.50949768,0.001958623
468,2.133859113,1.382718699,0.000745767
469,1.511711669,1.669578377,0.000323822
470,1.341689946,1.893254308,0.000684358
471,1.347965505,1.700817221,0.00068289
472,1.511780996,1.440437408,0.000279131
473,1.440310244,1.409355441,0.000344871
474,1.364206315,1.581989167,0.000340132
475,1.452350438,1.715112239,0.000563832
476,1.410689694,1.479084913,0.000408852
477,1.283770326,1.766684602,0.000529611
478,1.346506452,1.834618454,0.00100944
479,1.655820773,1.42027814,0.000431406
480,2.29739045,1.361920872,0.000373568
481,1.654190943,1.248011265,0.000439486
482,8.553796279,1.398151558,0.001273054
483,1.587079727,1.372028132,0.000289974
484,2.295351029,1.360114991,0.000581694
485,1.445553945,1.431486738,0.000476892
486,5.016932787,1.502115149,0.001571684
487,1.508706911,1.520272546,0.000267005
488,1.476250196,1.428185802,0.000271691
489,1.363566752,1.55977448,0.000398991
490,1.365249087,1.59447915,0.000426349
491,1.295061947,1.732609056,0.001527815
492,1.388485167,1.587500249,0.000301036
493,1.830434007,1.409790393,0.000469591
494,1.781202385,1.485946882,0.000738332
495,7.135464755,1.552165496,0.000628838
496,1.442808072,1.561743383,0.000356491
497,1.423206849,1.719123292,0.000626556
498,1.358690984,1.760181451,0.000356699
499,1.343299083,1.570291674,0.000740932
500,1.654919477,1.443669632,0.000592244
501,1.403265454,1.470683272,0.000343964
502,1.345678634,1.627723863,0.000799276
503,1.469570685,1.605061197,0.000318307
504,6.266540144,1.372647113,0.001066737
505,1.364276126,1.700149478,0.000615694
506,1.402982998,1.581138797,0.00029217
507,1.571117903,1.414997122,0.000335878
508,1.467499469,1.714655245,0.000375123
509,5.786563526,1.539369184,0.00068064
510,1.443638461,1.560660785,0.00030635
511,1.484572989,1.660598755,0.000470989
512,1.486043132,1.494365049,0.000299201
513,1.483016587,1.44713281,0.000485942
514,1.300047506,1.755909155,0.000704251
515,1.417986583,1.63960093,0.000323842
516,1.410622926,1.505636913,0.000333682
517,1.939943084,1.370614132,0.000404325
518,1.291450806,1.819552473,0.001152367
519,1.27528089,1.788969707,0.000517357
520,1.334162818,1.727854002,0.000777761
521,1.300311594,1.754820507,0.000797773
522,1.737486315,1.36605624,0.002886233
523,2.018890642,1.354163766,0.000451816
524,1.438580791,1.590621706,0.000436805
525,1.562719848,1.326867776,0.000909501
526,1.450900821,1.712388799,0.000455893
527,1.294721661,1.732482821,0.000489392
528,1.32747961,1.652302756,0.000362263
529,8.533957508,1.458632527,0.001195978
530,1.557342828,1.395514724,0.00031747
531,1.472741512,1.471456061,0.000296616
